235.46,235.48,235.42,235.42
235.565,235.57,235.42,235.47
235.56,235.67,235.545,235.56
235.47,235.59,235.47,235.56
235.44,235.52,235.415,235.46
235.43,235.48,235.42,235.43
235.53,235.55,235.42,235.43
235.55,235.55,235.48,235.52
235.64,235.64,235.53,235.55
235.6,235.67,235.6,235.63
235.65,235.67,235.61,235.61
235.64,235.66,235.63,235.64
235.78,235.8,235.625,235.64
235.85,235.85,235.77,235.78
235.77,235.86,235.75,235.85
235.78,235.78,235.76,235.77
235.73,235.83,235.73,235.78
235.68,235.75,235.68,235.725
235.66,235.69,235.65,235.68
235.68,235.71,235.65,235.65
235.63,235.69,235.62,235.68
235.67,235.68,235.63,235.63
235.72,235.77,235.68,235.68
235.72,235.75,235.71,235.72
235.7,235.735,235.67,235.72
235.67,235.69,235.665,235.69
235.71,235.74,235.67,235.67
235.78,235.78,235.72,235.72
235.88,235.89,235.77,235.78
235.91,235.96,235.88,235.88
236.12,236.17,235.88,235.91
235.965,236.12,235.94,236.11
235.96,236.02,235.95,235.97
235.9,235.97,235.89,235.97
235.95,235.95,235.87,235.895
235.89,236.02,235.89,235.95
235.89,235.89,235.83,235.89
235.83,235.89,235.78,235.88
235.77,235.84,235.715,235.84
235.77,235.83,235.76,235.77
235.9,235.91,235.8,235.8
235.72,235.9,235.695,235.9
235.68,235.77,235.68,235.73
235.74,235.75,235.67,235.68
235.74,235.78,235.74,235.75
235.69,235.73,235.68,235.73
235.72,235.73,235.68,235.69
235.74,235.77,235.715,235.72
235.74,235.76,235.72,235.74
235.68,235.725,235.61,235.725
235.72,235.725,235.62,235.68
235.78,235.78,235.71,235.73
235.77,235.83,235.77,235.78
235.89,235.94,235.74,235.77
235.81,235.899,235.81,235.89
235.81,235.82,235.77,235.82
235.78,235.82,235.75,235.82
235.79,235.795,235.77,235.78
235.72,235.82,235.705,235.78
235.74,235.765,235.735,235.74
235.72,235.74,235.65,235.74
235.73,235.73,235.69,235.72
235.68,235.72,235.65,235.72
235.76,235.77,235.665,235.67
235.785,235.83,235.77,235.77
235.83,235.87,235.79,235.79
235.82,235.85,235.8,235.825
235.92,235.92,235.83,235.83
235.895,235.92,235.86,235.92
235.87,235.895,235.86,235.895
235.88,235.91,235.86,235.87
235.84,235.89,235.82,235.89
235.92,235.93,235.835,235.84
235.955,235.98,235.92,235.92
235.97,235.97,235.95,235.96
235.94,236.01,235.94,235.965
235.93,235.96,235.91,235.94
235.945,235.96,235.93,235.94
235.92,235.94,235.92,235.94
235.86,235.92,235.83,235.92
235.87,235.87,235.85,235.86
235.86,235.92,235.81,235.87
235.93,235.93,235.86,235.86
235.98,236.01,235.93,235.93
235.9,235.99,235.9,235.975
235.86,235.89,235.84,235.89
235.92,235.92,235.85,235.86
235.9,235.92,235.9,235.92
235.92,235.92,235.87,235.89
235.98,235.98,235.93,235.93
236.01,236.03,235.97,235.985
236.0,236.0,235.99,236.0
235.98,236.02,235.97,236.01
235.99,236.01,235.95,235.98
236.03,236.037,235.99,235.99
236.11,236.12,236.03,236.03
236.13,236.16,236.12,236.12
236.075,236.12,236.07,236.12
236.11,236.11,236.08,236.08
236.07,236.12,236.06,236.1
236.04,236.08,236.03,236.08
236.12,236.14,236.04,236.04
236.13,236.14,236.11,236.13
236.21,236.24,236.145,236.145
236.15,236.21,236.12,236.2
236.07,236.16,236.06,236.16
236.05,236.07,236.05,236.06
236.08,236.08,236.05,236.06
236.03,236.09,235.99,236.08
236.05,236.07,236.04,236.04
236.04,236.06,236.01,236.05
236.03,236.075,236.03,236.05
236.04,236.055,236.01,236.02
236.07,236.11,236.04,236.04
236.005,236.08,236.005,236.07
236.02,236.04,235.99,236.01
236.03,236.03,235.97,236.02
236.03,236.04,236.03,236.04
236.02,236.03,236.01,236.03
236.08,236.09,236.025,236.025
236.08,236.1,236.065,236.085
236.09,236.09,236.06,236.08
236.08,236.1,236.08,236.09
236.07,236.1,236.07,236.09
236.03,236.09,236.03,236.08
235.935,236.025,235.93,236.025
235.83,235.94,235.805,235.93
235.85,235.89,235.835,235.84
235.89,235.905,235.859,235.859
235.9,235.9,235.87,235.89
235.91,235.915,235.899,235.9
235.87,235.9,235.87,235.9
235.85,235.88,235.84,235.87
235.855,235.86,235.84,235.85
235.85,235.85,235.82,235.85
235.83,235.86,235.83,235.85
235.86,235.86,235.82,235.83
235.93,235.93,235.86,235.86
235.9,235.94,235.9,235.92
235.91,235.915,235.89,235.895
235.89,235.91,235.89,235.91
235.89,235.895,235.875,235.895
235.9,235.9,235.87,235.88
235.93,235.94,235.905,235.905
235.92,235.945,235.92,235.93
235.92,235.92,235.91,235.92
235.86,235.91,235.86,235.91
235.855,235.86,235.825,235.85
235.85,235.865,235.845,235.85
235.88,235.88,235.85,235.85
235.82,235.88,235.82,235.88
235.9,235.9,235.81,235.825
235.94,235.94,235.91,235.91
235.87,235.93,235.87,235.93
235.89,235.91,235.87,235.87
